celltype_det;celltype_overall;celltype_group
B_cell_progenitors;B_cells;Immune_blood
B_cells;B_cells;Immune_blood
Blood_progenitors;Blood_progenitors;Immune_blood
Distal_tubule;Kidney_tubule;Stromal
Doublets;Doublets;Mixed
Endothelial;Endothelial_cells;Stromal
Endothelial_hapln3;Endothelial_cells;Stromal
Epithelial;Epithelial_cells;Stromal
Epithelial_capsla;Epithelial_cells;Stromal
Epithelial_ebp;Epithelial_cells;Stromal
Epithelial_krt91;Epithelial_cells;Stromal
Erythrocytes_little_prolif;Erythrocytes;Immune_blood
Erythrocytes_prolif;Erythrocytes;Immune_blood
Fibroblasts;Fibroblasts;Stromal
Fibroblasts_immune_doublets;Doublets;Mixed
Glial_sox10_1;Glial_sox10;Stromal
Glial_sox10_2;Glial_sox10;Stromal
Glial_sox10_3;Glial_sox10;Stromal
Hepato_enterocytes;Hepato_enterocytes;Stromal
HSCs_thrombocytes;HSPCs;Immune_blood
Interrenal_cells;Interrenal_cells;Stromal
Keratinocytes;Keratinocytes;Stromal
Lymphoid_progenitors;Lymphoid_progenitors;Immune_blood
Macrophages;Macrophages;Immune_blood
Macrophages_moxd1;Macrophages;Immune_blood
Macrophages_myeloid;Macrophages_myeloid;Immune_blood
Mucin_cells;Mucin_cells;Stromal
Multiciliated_cells;Multiciliated_cells;Stromal
Muscle_cells;Muscle_cells;Stromal
Myofibroblasts;Fibroblasts;Stromal
NB;NB;NB
NB_doublets;Doublets;Mixed
NB_ery_contaminated;NB;NB
NB_immune_contaminated;NB;NB
NB_heatshock;NB;NB
Nephron_epithelium;Epithelial_cells;Stromal
Neutrophil_doublets;Doublets;Mixed
Neutrophils;Neutrophils;Immune_blood
NK_cells;NK_cells;Immune_blood
NKL_cells;NKL_cells;Immune_blood
Proximal_tubule;Kidney_tubule;Stromal
T_cells;T_cells;Immune_blood
T_cells_rorc;T_cells;Immune_blood
T_NK_cells_heatshock;T_and_NK_cells;Immune_blood
Th2_cells;Th2_cells_ILC2s;Immune_blood
Smooth_muscle;Smooth_muscle;Stromal
