HSCs_Thrombocytes,BloodProgens,Erythroid,Neutrophils,Macrophages,Macrophages_Myeloid,B_cells,T_cells,NK_cells,NKL_cells,Kidney_progens,Kidney_proxtubule,Kidney_disttubule,Nephron_epithelium,Kidney_mucin,Kidney_multiciliated,Vasc_endothelium,runx_overlap,runx_fraction,runx_trajectory,cd41_thrombos,mpx_neutros,lck_T_NK_cells,lck_NK_cells,rag2_B_cells,Neuroblastoma,Steroids_interrenal,Endocardium(Atrium),Immune(heart),Endocardium(Ventricle),Cardiomyocytes(Ventricle),Erythrocytes(heart),Fibroblasts(heart),SmoothMuscleCells,Cardiomyocytes(Atrium),BloodVesselEndothelial,Epicardium,ProliferatingCells(Heart),SchwannCells,CardiacNeurons,Thyroid,Nrblstm_ADRN,Nrblstm_MES
fn1b,si:ch211-214p16.1,si:dkey-25o16.2,mpx,ctss2.2,irf8,zgc:153659,si:ch211-214p16.1,ccl38a.5,ccl33.3,rbp4,aldob,si:ch211-139a5.9,epcam,si:dkey-203a12.2,h1f0,cxcl12a,CABZ01080074.2,zfpm1,meis1b,itga2b,slc51a,bcl11ba,zbtb32,CD37,MYCN,mrap,spock3,grn1,si:ch73-86n18.1,tnni4a,si:ch211-5k11.8,col1a2,rgs5a,tnnc1b,hbegfb,gstm.3,hmgn2,mbpa,vipb,tg,abca3a,abracl
fgl2a,npm1a,si:xx-by187g17.1,npsn,lygl1,sftpbb,zgc:194275,dusp2,ccl38.6,nkl.3,fstl1b,ucp1,mb,cldnh,si:dkey-203a12.8,tuba7l,sele,si:ch211-117l17.7,hdr,si:ch211-222l21.1,apln,BX908782.1,ccr7,nkl.2,CXCR5,EGFP,star,zgc:158343,ccl35.1,aqp8a.1,CR926459.1,hbba1.1,col1a1a,acta2,nppa,admb,s100a10a,hmgb2a,cd59,stmn1b,moxd1l,abca3b,acadvl
itga2b,ahcy,slc4a1a,BX908782.3,c1qb,cd74b,si:ch1073-78m18.1,BX784026.1,BX908792.2,nkl.4,col1a1b,TMEM27,si:ch73-359m17.9,spint2,si:dkey-77g12.4,si:ch73-111k22.3,kdrl,cald1l2,gp1bb,cald1l2,si:ch73-308b14.1,ppp1r14aa,cd4-1,ccl38.6,si:dkey-24p1.1,phox2a,gramd1a,ptgs2a,cd74a,fabp11a,fabp3,hbba1,mdka,C11orf96,myh6,wu:fj16a03,fn1b,tubb2b,mbpb,elavl4,cldnc,abcb4,acap2
si:dkeyp-116a7.2,rsl1d1,si:ch211-103n10.5,si:ch211-9d9.1,KRT18_1_of_many,cd74a,si:dkey-234i14.9,sesn1,zbtb32,si:dkeyp-116a7.2,col1a1a,si:ch211-139a5.9,atp1a1a.4,sdc4,si:dkey-203a12.6,zgc:55461,cpn1,gp1bb,rhag,orc1,fn1b,rab11bb,cd8a,ccl34b.4,cd79b,hand2,cyp21a2,im:7152348,grn2,spock3,myl7,hbaa1,col1a1b,TPM1 (1 of many),si:ch211-270g19.5,si:ch211-195b11.3,postnb,h3f3b.1,mpz,syt1a,crhbp,ablim1a,acta2
tpm4a,fabp3,alas2,lect2l,c1qc,mpeg1.1,igl3c3,zap70,ccl38a.4,si:ch73-308b14.1,krt94,slc22a2,cdh17,tspan35,si:dkeyp-75b4.10,zgc:92249,cpn1,hif1aa,tuba8l4,si:dkey-261h17.1,ctgfa,cpa5,def6b,si:dkey-21e2.12,ighz,dbh,cyp11c1,mycb,pfn1,mb,cmlc1,hbba2,ccl25b,tagln,nppb,apln,mmp2,hmgb2b,scn4ab,tuba1c,cx30.3,ablim1b,actn1
myh11a,gtpbp4,hbaa1,adam8a,c1qa,lgals2a,igic1s1,ccl34b.4,si:dkey-78l4.4,si:ch211-188c18.1,igfbp5b,sepp1a,bin2a,krt8,si:dkey-203a12.7,ckba,cdh5,itga2b,prkar2aa,mpl,fgl2a,lyz,ggt1l2.2,si:ch211-165b19.8,igic1s1,th,hsd3b1,her6,cd74b,ramp2,actc1a,cahz,col5a1,krt91,tcap,cldn5b,krt15,h2afvb,plp1b,gap43,crygs2,acot7,adam19a
gp1bb,adh5,CR735126.1,ponzr6,grna,zgc:55621,cd74a,si:dkey-183p4.10,si:ch211-209l18.6,si:ch211-214p16.1,mfap5,pdzk1,glsb,krt18,si:dkey-203a12.5,sycp1,vsg1,mpl,tal1,si:dkey-29l4.4,flna,glrx2,gpr184,si:dkey-10h3.2,igl2v1,LMO1,,id2b,fcer1gl,epas1b,myh7l,hbaa2,fn1b,myh11a,hsp90aa1.1,sele,si:ch211-105c13.3,stmn1a,apoeb,stmn2a,pax2a,actl6b,adam19b
flna,eef1da,cahz,cfl1l,grn1,ctss2.2,cd74b,btg1,si:dkey-21e2.12,arl11,sparc,gpt2l,atp1b1a,pfn2,si:dkey-203a12.3,si:dkey-40g16.5,sepp1a,mtus1b,znfl2a,myh11a,thbs1b,si:ch73-322b17.3,il7r,MCTP1,igl2v2,BIRC5,,aqp8a.1,si:busm1-266f07.2,cdh5,acta1b,si:ch211-103n10.5,sparc,myl6,ttn.2,cxcl12b,si:ch211-106h4.12,tuba8l4,BX936284.1,mllt11,slc16a9a,acvr1ba,adam9
meis1b,csf1rb,blvrb,cpa5,si:dkey-5n18.1,si:busm1-266f07.2,mhc2dab,si:dkeyp-116a7.2,nitr2b,cd74a,c6,fbp1b,sepp1a,cldnb,si:ch211-14a17.10,si:ch211-57h10.1,krt18,myl9b,blvrb,fli1a,si:dkeyp-116a7.2,si:dkey-83k24.5,itk,nkl.4,igl4c1,gata3,,si:ch211-153b23.5,c1qb,si:ch211-145b13.6,ak1,slc4a1a,dpt,itih1,tnni1b,cxcl12a,krt4,pcna,anxa13l,snap25a,,acvr1bb,adamts5
ahnak,ddx21,rhag,lyz,cd74b,zgc:103700,dap1b,si:ch211-265g21.1,si:dkey-21e2.11,si:ch211-265g21.1,col1a2,gstt1a,cox5b2,spry2,MFAP4_1_of_many,ift46,col4a1,pbx1a,nfe2,itga2b,srgn,ANPEP,si:ch1073-15f19.2,si:dkey-183i3.6,igl4v8,mCherry,,clic2,lygl1,her6,ndufa4,hemgn,clu,myl9a,tnnt2a,rgcc,frzb,anp32b,si:rp71-19m20.1,rtn1b,,adam22,adgre5a
