"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EGFP",0,2.3280219190261,0.97,0.467,0,"NB","EGFP"
"rgs5a",0,2.14094891523535,0.982,0.529,0,"NB","rgs5a"
"si:ch211-131k2.3",0,2.03316981051985,0.564,0.159,0,"NB","si:ch211-131k2.3"
"phex",0,2.03201844936939,0.825,0.199,0,"NB","phex"
"mCherry",0,1.95354632389924,0.628,0.291,0,"NB","mCherry"
"dbh",0,1.91270885317086,0.75,0.143,0,"NB","dbh"
"LMO1",0,1.88907413921483,0.596,0.265,0,"NB","LMO1"
"hand2",0,1.65740458376927,0.785,0.162,0,"NB","hand2"
"tmsb",0,1.63176680827245,0.817,0.217,0,"NB","tmsb"
"uchl1",0,1.6146663276352,0.641,0.173,0,"NB","uchl1"
"rtn1a",0,1.55629169601108,0.743,0.134,0,"NB","rtn1a"
"gch2",0,1.54730588818336,0.68,0.16,0,"NB","gch2"
"rgs4",0,1.46790687436518,0.784,0.197,0,"NB","rgs4"
"elavl3",0,1.31605081437077,0.576,0.068,0,"NB","elavl3"
"slc35g2a",0,1.3013096793879,0.571,0.094,0,"NB","slc35g2a"
"tmsb2",0,1.27784856651418,0.672,0.115,0,"NB","tmsb2"
"phox2a",0,1.27331308760303,0.646,0.108,0,"NB","phox2a"
"ppdpfb",0,1.24564856248979,0.825,0.416,0,"NB","ppdpfb"
"th",0,1.23669456662994,0.612,0.1,0,"NB","th"
"hmgb3a",0,1.23448572209414,0.708,0.156,0,"NB","hmgb3a"
"rpl22l1",0,1.22316329482631,0.98,0.844,0,"NB","rpl22l1"
"syt1a",0,1.21806174032272,0.563,0.061,0,"NB","syt1a"
"MYCN",0,1.19311306514316,0.518,0.084,0,"NB","MYCN"
"egr4",0,1.19159136786199,0.443,0.084,0,"NB","egr4"
"pcsk1nl",0,1.17384167863484,0.605,0.084,0,"NB","pcsk1nl"
"si:ch211-195b15.8",0,1.14890946246681,0.496,0.074,0,"NB","si:ch211-195b15.8"
"si:ch73-119p20.1",0,1.14633635504272,0.623,0.089,0,"NB","si:ch73-119p20.1"
"CR812832.1",0,1.14344433915422,0.576,0.088,0,"NB","CR812832.1"
"aplp1",0,1.14118984021837,0.555,0.068,0,"NB","aplp1"
"zfhx3",0,1.13222060400417,0.648,0.16,0,"NB","zfhx3"
"pfn2l",0,1.11905780640959,0.734,0.205,0,"NB","pfn2l"
"mdkb",0,1.1144755340753,0.559,0.075,0,"NB","mdkb"
"elavl4",0,1.10754572622009,0.553,0.068,0,"NB","elavl4"
"rps12",0,1.10447058973091,1,0.992,0,"NB","rps12"
"fabp3",0,1.09949299789463,0.869,0.42,0,"NB","fabp3"
"zgc:114188",0,1.07997355823886,0.995,0.946,0,"NB","zgc:114188"
"rplp0",0,1.0798607892214,0.999,0.99,0,"NB","rplp0"
"camk2n1a",0,1.07571003954655,0.496,0.07,0,"NB","camk2n1a"
"mtbl",0,1.07440915456122,0.595,0.099,0,"NB","mtbl"
"npm1a",0,1.07288538268651,0.855,0.45,0,"NB","npm1a"
"hist2h2l",0,1.06950289100372,0.725,0.247,0,"NB","hist2h2l"
"atp6v0cb",0,1.0459110971413,0.563,0.074,0,"NB","atp6v0cb"
"alcamb",0,1.04410585192803,0.543,0.077,0,"NB","alcamb"
"ywhah",0,1.04111814883013,0.625,0.134,0,"NB","ywhah"
"jpt1b",0,1.02901578864342,0.72,0.197,0,"NB","jpt1b"
"scg3",0,1.00224517581252,0.509,0.065,0,"NB","scg3"
"epas1b",0,0.997252343414843,0.512,0.1,0,"NB","epas1b"
"rnasekb",0,0.985841288516867,0.583,0.105,0,"NB","rnasekb"
