"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"c1qc",0,3.98695078130181,0.854,0.046,0,"0","c1qc"
"c1qb",0,3.97240069222146,0.864,0.049,0,"0","c1qb"
"lgals3bpb",0,3.94431430970149,0.705,0.026,0,"0","lgals3bpb"
"grn1",0,3.88280450815553,0.728,0.06,0,"0","grn1"
"marco",0,3.8351769424633,0.709,0.02,0,"0","marco"
"cd74a",0,3.78495466734191,0.968,0.37,0,"0","cd74a"
"c1qa",0,3.19144053124271,0.729,0.034,0,"0","c1qa"
"cd74b",0,3.06954102567071,0.938,0.341,0,"0","cd74b"
"zgc:174904",0,2.97211143648637,0.541,0.051,0,"0","zgc:174904"
"si:busm1-266f07.2",0,2.9524078086637,0.877,0.253,0,"0","si:busm1-266f07.2"
"si:dkey-5n18.1",0,2.94542267428554,0.596,0.023,0,"0","si:dkey-5n18.1"
"lgmn",0,2.912825486814,0.54,0.112,0,"0","lgmn"
"psap",0,2.86631393143053,0.775,0.232,0,"0","psap"
"zgc:103700",0,2.80327602879327,0.635,0.084,0,"0","zgc:103700"
"ctss2.2",0,2.80032820419564,0.785,0.133,0,"0","ctss2.2"
"pmaip1",0,2.79583295909158,0.614,0.146,0,"0","pmaip1"
"ctsba",0,2.74512794040195,0.699,0.212,0,"0","ctsba"
"ctsd",0,2.71908502851173,0.549,0.195,0,"0","ctsd"
"mrc1b",0,2.57504769045542,0.519,0.057,0,"0","mrc1b"
"sdc4",0,2.54916547280386,0.77,0.269,0,"0","sdc4"
"lygl1",0,2.51936734211521,0.687,0.116,0,"0","lygl1"
"NPC2 (1 of many)",0,2.47133960003984,0.457,0.028,0,"0","NPC2 (1 of many)"
"zgc:77517",0,2.46878953126084,0.721,0.143,0,"0","zgc:77517"
"ms4a17a.10",0,2.4391067374716,0.522,0.027,0,"0","ms4a17a.10"
"grna",0,2.39022109348426,0.608,0.083,0,"0","grna"
"fgl2a",0,2.31523050149172,0.543,0.054,0,"0","fgl2a"
"midn",0,2.28236242976751,0.601,0.358,0,"0","midn"
"lgals2a",0,2.20444976267727,0.642,0.088,0,"0","lgals2a"
"mafbb",0,2.187565845566,0.409,0.021,0,"0","mafbb"
