"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"si:ch211-5k11.8",0,2.93791524407742,0.994,0.798,0,"0","si:ch211-5k11.8"
"hbba1",0,2.79720431886419,0.989,0.708,0,"0","hbba1"
"hbba1.1",0,2.74428121060143,0.994,0.827,0,"0","hbba1.1"
"si:ch211-250g4.3",0,2.60448129695101,0.813,0.149,0,"0","si:ch211-250g4.3"
"hbaa1",0,2.60373384851352,0.992,0.817,0,"0","hbaa1"
"hbba2",0,2.5343036599899,0.904,0.608,0,"0","hbba2"
"cahz",0,2.28470026071341,0.867,0.267,0,"0","cahz"
"hbaa2",0,2.21033668395705,0.832,0.542,0,"0","hbaa2"
"alas2",0,2.16394211745503,0.801,0.185,0,"0","alas2"
"si:dkey-16p21.8",0,1.9027744273269,0.695,0.155,0,"0","si:dkey-16p21.8"
"nt5c2l1",0,1.78111453509687,0.619,0.135,0,"0","nt5c2l1"
"si:ch211-103n10.5",0,1.7482092670416,0.882,0.379,0,"0","si:ch211-103n10.5"
"tspo",0,1.47934884926561,0.699,0.251,0,"0","tspo"
"hemgn",0,1.41503280653253,0.757,0.237,0,"0","hemgn"
"mibp",0,1.37959457393763,0.488,0.164,0,"0","mibp"
"aqp1a.1",0,1.3284967234483,0.498,0.118,0,"0","aqp1a.1"
"si:ch211-207c6.2",0,1.29561386163428,0.441,0.111,0,"0","si:ch211-207c6.2"
"blvrb",0,1.29384866199706,0.677,0.228,0,"0","blvrb"
"slc4a1a",0,1.2919159636034,0.733,0.196,0,"0","slc4a1a"
"igfbp1a",0,1.20697129934525,0.586,0.221,0,"0","igfbp1a"
"epb41b",0,1.15929856359446,0.555,0.133,0,"0","epb41b"
"gpx1a",6.82831050935454e-295,0.917100451114152,0.762,0.476,1.79413858633291e-290,"0","gpx1a"
"zgc:56095",3.75927279106376e-258,0.771691193320529,0.412,0.173,9.87748925852003e-254,"0","zgc:56095"
"gstm.1",1.27196141767192e-218,0.930813738246209,0.492,0.262,3.34207862493298e-214,"0","gstm.1"
"CU571382.1",0,2.7848791407832,0.755,0.088,0,"1","CU571382.1"
"CT573231.1",0,2.41907323895191,0.436,0.042,0,"1","CT573231.1"
"zgc:194275",0,2.18856908736316,0.701,0.084,0,"1","zgc:194275"
"CR318588.1",0,2.14747232344035,0.937,0.675,0,"1","CR318588.1"
"igic1s1",0,2.01980354336222,0.638,0.073,0,"1","igic1s1"
"CU896602.1",0,1.97524042812117,0.586,0.066,0,"1","CU896602.1"
"zgc:153659",0,1.97117497065023,0.463,0.06,0,"1","zgc:153659"
"cxcr4a",0,1.86072020182523,0.498,0.13,0,"1","cxcr4a"
"dap1b",0,1.72663456596855,0.477,0.162,0,"1","dap1b"
"ccr9a",0,1.5407267683618,0.685,0.321,0,"1","ccr9a"
"cd83",0,1.5169393271041,0.418,0.16,0,"1","cd83"
"cxcr4b",0,1.35154339752794,0.888,0.566,0,"1","cxcr4b"
"si:busm1-266f07.2",0,0.84979185047624,0.666,0.319,0,"1","si:busm1-266f07.2"
"rps27.1",0,0.710277485156519,0.995,0.983,0,"1","rps27.1"
"CR936442.1",1.53524978829422e-298,0.819507344482872,0.697,0.377,4.03386881874307e-294,"1","CR936442.1"
"btg2",7.22543970823253e-249,1.05353300812262,0.744,0.599,1.8984842833381e-244,"1","btg2"
"rsl24d1",8.01499248844821e-202,0.702699957424994,0.843,0.754,2.10593927633977e-197,"1","rsl24d1"
"sat1a.2",1.84387155919229e-198,0.822780587496022,0.842,0.742,4.84477252177775e-194,"1","sat1a.2"
"fosab",4.36076534906965e-163,0.828009845785891,0.66,0.495,1.14579109546805e-158,"1","fosab"
"dusp2",2.75332896813967e-138,0.972109406839375,0.534,0.347,7.23437186378698e-134,"1","dusp2"
"bhlhe40",1.05582149033324e-120,0.887486764587627,0.442,0.267,2.77417096585059e-116,"1","bhlhe40"
"grap2b",1.36431707628343e-116,1.06416581917758,0.408,0.267,3.58474311793471e-112,"1","grap2b"
"nr4a1",6.70815386968417e-112,0.842538203602041,0.618,0.507,1.76256742925952e-107,"1","nr4a1"
"kctd5a",4.74094419755261e-95,1.12014593051932,0.436,0.336,1.24568308790695e-90,"1","kctd5a"
"mCherry",6.60563070973968e-81,0.703376890442897,0.403,0.269,1.7356294689841e-76,"1","mCherry"
"jun",7.00492591154544e-77,0.724009668632162,0.495,0.372,1.84054428325856e-72,"1","jun"
"rgs13",2.76214919836906e-64,0.807841499878604,0.471,0.382,7.2575470187147e-60,"1","rgs13"
"h2afx1",2.76137205466111e-58,0.771089998688963,0.511,0.459,7.25550507362206e-54,"1","h2afx1"
"ccni",5.99059115154681e-53,0.721348430260676,0.538,0.521,1.57402782506892e-48,"1","ccni"
"hsp70l",1.13993863974819e-46,0.945989924754637,0.412,0.327,2.99518877593836e-42,"1","hsp70l"
"mknk2b",7.30948173408915e-34,0.875434973439262,0.421,0.383,1.92056632563192e-29,"1","mknk2b"
"dnajb1b",6.41579579106507e-31,0.913121963785327,0.41,0.359,1.68575034410235e-26,"1","dnajb1b"
"hsp70.3",1.33288809170557e-23,0.851649406693446,0.406,0.367,3.50216346095637e-19,"1","hsp70.3"
"si:ch211-202a12.4",3.95266664972269e-20,0.7032531520852,0.522,0.566,1.03856316221464e-15,"1","si:ch211-202a12.4"
"si:ch211-9d9.1",0,3.32653793519097,0.964,0.145,0,"2","si:ch211-9d9.1"
"adam8a",0,2.66867298383648,0.922,0.223,0,"2","adam8a"
"scpp8",0,2.51023923027396,0.85,0.131,0,"2","scpp8"
"lect2l",0,2.37926503105412,0.995,0.235,0,"2","lect2l"
"atf3",0,2.37460644053183,0.813,0.269,0,"2","atf3"
"zgc:77112",0,2.25432369360973,0.637,0.107,0,"2","zgc:77112"
"alox5ap",0,2.19843496435843,0.762,0.139,0,"2","alox5ap"
"mmp13a.1",0,2.19456732626499,0.79,0.118,0,"2","mmp13a.1"
"BX908782.2",0,2.17087191002112,0.981,0.209,0,"2","BX908782.2"
"myh9a",0,2.0522363626891,0.704,0.162,0,"2","myh9a"
"il6r",0,2.0508902095905,0.686,0.14,0,"2","il6r"
"mcl1b",0,2.0394471041284,0.804,0.296,0,"2","mcl1b"
"cfl1l",0,2.02722664845669,0.614,0.095,0,"2","cfl1l"
"cebpb",0,2.00204177973196,0.982,0.597,0,"2","cebpb"
"selenow1",0,1.98873921574576,0.937,0.481,0,"2","selenow1"
"icn",0,1.98420560382369,0.949,0.358,0,"2","icn"
"mmp9",0,1.98054510337771,0.704,0.13,0,"2","mmp9"
"sgk1",0,1.9647977404733,0.51,0.175,0,"2","sgk1"
"odc1",0,1.90492468759785,0.768,0.3,0,"2","odc1"
"mpx",0,1.90268919704927,0.67,0.114,0,"2","mpx"
"si:ch73-343l4.8",0,1.84195387909454,0.613,0.11,0,"2","si:ch73-343l4.8"
"il1b",0,1.83687537597318,0.716,0.158,0,"2","il1b"
"hbegfa",0,1.82385277459016,0.506,0.12,0,"2","hbegfa"
"nccrp1",0,1.82088882672445,0.801,0.231,0,"2","nccrp1"
"scinlb",0,1.8008409964917,0.704,0.173,0,"2","scinlb"
"ncf1",0,1.79468136792337,0.751,0.262,0,"2","ncf1"
"spi1b",0,1.79098791650186,0.792,0.273,0,"2","spi1b"
"si:ch211-136m16.8",0,1.78515730855827,0.599,0.15,0,"2","si:ch211-136m16.8"
"ppdpfa",0,1.78469756553301,0.627,0.201,0,"2","ppdpfa"
"npsn",0,1.77440949424388,0.903,0.169,0,"2","npsn"
"CT030188.1",0,1.76797061302025,0.73,0.155,0,"2","CT030188.1"
"pnp5a",0,1.76322379238281,0.737,0.298,0,"2","pnp5a"
"srgn",0,1.71732220616003,0.994,0.539,0,"2","srgn"
"illr4",0,1.71377625720847,0.61,0.1,0,"2","illr4"
"si:ch73-248e21.5",0,1.70585692283703,0.666,0.239,0,"2","si:ch73-248e21.5"
"si:ch73-248e21.7",0,1.68884868871227,0.605,0.195,0,"2","si:ch73-248e21.7"
"slc7a3a",0,1.68453242773136,0.577,0.192,0,"2","slc7a3a"
"si:ch211-264f5.2",0,1.67545553688588,0.566,0.119,0,"2","si:ch211-264f5.2"
"smox",0,1.67434059530289,0.624,0.209,0,"2","smox"
"slc16a3",0,1.63615545421655,0.439,0.079,0,"2","slc16a3"
"sult2st1",0,1.62808496700656,0.587,0.111,0,"2","sult2st1"
"gapdh",0,1.62137255031172,0.493,0.107,0,"2","gapdh"
"si:dkey-27h10.2",0,1.6146556876583,0.536,0.108,0,"2","si:dkey-27h10.2"
"tmsb1",0,1.61252332593609,0.751,0.204,0,"2","tmsb1"
"vamp8",0,1.60009982365287,0.571,0.135,0,"2","vamp8"
"CU499336.2",0,1.5960063843393,0.62,0.18,0,"2","CU499336.2"
"thy1",0,1.58775912997796,0.565,0.113,0,"2","thy1"
"pim1",0,1.57448219251606,0.736,0.385,0,"2","pim1"
"antxr2a",0,1.5703170079899,0.578,0.18,0,"2","antxr2a"
"si:ch1073-443f11.2",0,1.56082583214111,0.47,0.098,0,"2","si:ch1073-443f11.2"
"slc2a3b",0,1.55773604281853,0.466,0.132,0,"2","slc2a3b"
"prdx5",0,1.55580404981138,0.753,0.301,0,"2","prdx5"
"socs3a",0,1.54404507515712,0.602,0.26,0,"2","socs3a"
"xbp1",0,1.53553202021964,0.885,0.576,0,"2","xbp1"
"si:dkey-102g19.3",0,1.53327592423401,0.716,0.17,0,"2","si:dkey-102g19.3"
"fcer1gl",0,1.53027463742789,0.862,0.285,0,"2","fcer1gl"
"tagln2",0,1.52645145703943,0.752,0.327,0,"2","tagln2"
"lyz",0,1.52038307115036,0.903,0.298,0,"2","lyz"
"cebpa",0,1.51188054525707,0.456,0.14,0,"2","cebpa"
"cd7al",0,1.50280829743482,0.564,0.16,0,"2","cd7al"
"CR318588.4",0,1.49881087836851,1,0.961,0,"2","CR318588.4"
"ltb4r",0,1.49535865304228,0.477,0.111,0,"2","ltb4r"
"timp2b",0,1.49403766974075,0.605,0.131,0,"2","timp2b"
