"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"nkl.1",0,1.61823264834725,0.609,0.099,0,"0","nkl.1"
"CR318588.1",0,1.44417406400884,0.987,0.654,0,"0","CR318588.1"
"cygb1",0,0.934633958273177,0.546,0.22,0,"0","cygb1"
"socs3a",0,0.723975374442061,0.431,0.179,0,"0","socs3a"
"ucp2",0,0.694377957893677,0.58,0.343,0,"0","ucp2"
"zbtb16a",0,0.619372056942933,0.524,0.327,0,"0","zbtb16a"
"si:ch211-5k11.8",0,2.04431448781488,0.78,0.647,0,"1","si:ch211-5k11.8"
"hbba1.1",0,1.871665194695,0.798,0.691,0,"1","hbba1.1"
"hbba2",0,1.84254067981321,0.438,0.302,0,"1","hbba2"
"hbba1",0,1.77608615088245,0.636,0.471,0,"1","hbba1"
"hbaa1",0,1.42478081734238,0.73,0.67,0,"1","hbaa1"
"zgc:158463",0,1.36504283815551,0.908,0.964,0,"1","zgc:158463"
"CT027638.1",0,1.23007863896196,0.81,0.896,0,"1","CT027638.1"
"NC-002333.4",3.92367606112908e-50,0.732453671806452,0.878,0.982,1.03094588506167e-45,"1","NC-002333.4"
"NC-002333.17",0.00133760141272755,0.630757501256353,0.753,0.933,1,"1","NC-002333.17"
"hsp70l",0,2.69686987108732,0.991,0.42,0,"2","hsp70l"
"hsp70.1",0,2.11542694570853,0.975,0.35,0,"2","hsp70.1"
"ubb",0,2.02056979414858,0.971,0.502,0,"2","ubb"
"si:ch211-202a12.4",0,1.98713725984578,0.988,0.616,0,"2","si:ch211-202a12.4"
"hsp70.3",0,1.94452139090765,0.993,0.46,0,"2","hsp70.3"
"hsp70.2",0,1.88667966678406,0.991,0.425,0,"2","hsp70.2"
"hsp90aa1.2",0,1.77219202643481,0.996,0.658,0,"2","hsp90aa1.2"
"si:ch211-131k2.3",0,1.75842896572363,0.965,0.534,0,"2","si:ch211-131k2.3"
"dnajb1b",0,1.65205588560826,0.969,0.396,0,"2","dnajb1b"
"bag3",0,1.60661244615017,0.866,0.278,0,"2","bag3"
"mcl1a",0,1.53128763997147,0.947,0.498,0,"2","mcl1a"
"hspbp1",0,1.42486893040132,0.77,0.246,0,"2","hspbp1"
"hspa4a",0,1.40555709276163,0.903,0.371,0,"2","hspa4a"
"mt2",0,1.40023917774338,0.896,0.4,0,"2","mt2"
"DNAJA4",0,1.38318730924512,0.9,0.264,0,"2","DNAJA4"
"si:ch211-199o1.2",0,1.17300018391823,0.445,0.094,0,"2","si:ch211-199o1.2"
"angptl4",0,1.15815174995607,0.762,0.287,0,"2","angptl4"
"mknk2b",0,1.12156655929484,0.873,0.374,0,"2","mknk2b"
"rsrp1",0,1.11488359945969,0.933,0.428,0,"2","rsrp1"
"crhbp",0,1.10729824229347,0.507,0.084,0,"2","crhbp"
