"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"cygb1",0,0.967815411174397,0.548,0.165,0,"0","cygb1"
"si:ch211-131k2.3",0,2.37575686653098,0.943,0.395,0,"1","si:ch211-131k2.3"
"hsp70l",0,2.25533989217047,0.984,0.391,0,"1","hsp70l"
"bag3",0,2.080509684221,0.886,0.205,0,"1","bag3"
"ubb",0,2.03785518247147,0.962,0.485,0,"1","ubb"
"hsp90aa1.2",0,2.02682239460135,0.993,0.606,0,"1","hsp90aa1.2"
"si:ch211-202a12.4",0,1.95460877988921,0.985,0.594,0,"1","si:ch211-202a12.4"
"DNAJA4",0,1.74096418416011,0.912,0.211,0,"1","DNAJA4"
"uchl1",0,1.6958054072591,0.927,0.457,0,"1","uchl1"
"hsp70.3",0,1.67475804786661,0.987,0.431,0,"1","hsp70.3"
"hspa4a",0,1.63053959132817,0.916,0.332,0,"1","hspa4a"
"hspbp1",0,1.62654411652804,0.794,0.194,0,"1","hspbp1"
"mt2",0,1.54235118519498,0.863,0.299,0,"1","mt2"
"hsp70.2",0,1.48363947092208,0.984,0.395,0,"1","hsp70.2"
"dnajb1b",0,1.43581402930589,0.965,0.384,0,"1","dnajb1b"
"atp1b1b",0,1.39841704519718,0.537,0.164,0,"1","atp1b1b"
"hsp70.1",0,1.36204818441407,0.965,0.324,0,"1","hsp70.1"
"si:dkey-4p15.3",0,1.34929029637362,0.744,0.138,0,"1","si:dkey-4p15.3"
"zgc:153426",0,1.33326606273605,0.773,0.126,0,"1","zgc:153426"
"hsph1",0,1.28865566636,0.838,0.177,0,"1","hsph1"
"angptl4",0,1.24183644037381,0.73,0.204,0,"1","angptl4"
"ppdpfb",0,1.2276161612186,0.979,0.671,0,"1","ppdpfb"
"stip1",0,1.20668020552386,0.817,0.297,0,"1","stip1"
"pdcd4b",0,1.1916206779525,0.82,0.215,0,"1","pdcd4b"
"gadd45ga",0,1.16340565388787,0.527,0.196,0,"1","gadd45ga"
"zfand2a",0,1.14165290938113,0.682,0.171,0,"1","zfand2a"
"cbx7a",0,1.10251354316265,0.82,0.334,0,"1","cbx7a"
