"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"star",0,6.76155958105736,1,0.038,0,"0","star"
"fdx1b",0,5.27504186684117,0.951,0.02,0,"0","fdx1b"
"mrap",0,4.59853111114941,0.927,0.018,0,"0","mrap"
"cyp21a2",0,4.54200727786525,0.963,0.018,0,"0","cyp21a2"
"cyp11c1",0,4.4447709735347,0.924,0.016,0,"0","cyp11c1"
"cyp11a2",0,3.94719630297196,0.939,0.014,0,"0","cyp11a2"
"gramd1a",0,3.90500018601225,0.869,0.044,0,"0","gramd1a"
"igfbp1a",0,3.90444174836932,0.961,0.158,0,"0","igfbp1a"
"porb",0,3.63982231607525,0.944,0.129,0,"0","porb"
"CR318588.3",0,3.60140673716775,0.989,0.247,0,"0","CR318588.3"
"hsd3b1",0,3.49218529892805,0.869,0.013,0,"0","hsd3b1"
"C11orf96",0,3.43681477339958,0.709,0.094,0,"0","C11orf96"
"rgs16",0,3.28872283157567,0.628,0.018,0,"0","rgs16"
"dusp5",0,3.17548311919429,0.866,0.254,0,"0","dusp5"
"aldh2.1",0,3.15840876151354,0.815,0.078,0,"0","aldh2.1"
"hspe1",0,2.78708978434419,0.986,0.427,0,"0","hspe1"
"si:ch211-107o10.3",0,2.54982838363285,0.778,0.111,0,"0","si:ch211-107o10.3"
"aoc2",0,2.53007806798732,0.899,0.179,0,"0","aoc2"
"rbpms2b",0,2.38364777714182,0.769,0.05,0,"0","rbpms2b"
"hspd1",0,2.34035963740388,0.918,0.294,0,"0","hspd1"
"gpx1a",0,2.32912130844865,0.875,0.238,0,"0","gpx1a"
"prkag2a",0,2.29614626747879,0.7,0.032,0,"0","prkag2a"
"slc23a2",0,2.26892300261149,0.663,0.062,0,"0","slc23a2"
"cx43",0,2.26163885938293,0.712,0.056,0,"0","cx43"
"SERP1",0,2.10871029751087,0.931,0.436,0,"0","SERP1"
"nr5a1b",0,2.07670076224489,0.576,0.008,0,"0","nr5a1b"
"slc51a",0,2.06314944760286,0.596,0.063,0,"0","slc51a"
"fgfr3",0,2.01254315315686,0.618,0.048,0,"0","fgfr3"
"itpk1a",0,1.97753157217445,0.514,0.009,0,"0","itpk1a"
"mfge8b",0,1.94174959298679,0.587,0.065,0,"0","mfge8b"
"lifrb",0,1.92316176453039,0.665,0.115,0,"0","lifrb"
"pdk2a",0,1.87506018986738,0.458,0.048,0,"0","pdk2a"
"cyb5a",0,1.86138873508243,0.658,0.149,0,"0","cyb5a"
"zgc:112332",0,1.800241761597,0.432,0.005,0,"0","zgc:112332"
"mctp1b",0,1.79560425126656,0.511,0.009,0,"0","mctp1b"
"iscub",0,1.78655573028659,0.698,0.145,0,"0","iscub"
"foxc1a",0,1.76673374889181,0.532,0.028,0,"0","foxc1a"
"scarb2a",0,1.71303189060604,0.807,0.219,0,"0","scarb2a"
"osr2",0,1.69841203505371,0.471,0.018,0,"0","osr2"
"aldh2.2",0,1.69538057188859,0.598,0.084,0,"0","aldh2.2"
"dclk1a",0,1.68910695051117,0.482,0.046,0,"0","dclk1a"
"BX649388.1",0,1.60640641926837,0.446,0.005,0,"0","BX649388.1"
"atp1a3a",0,1.56301438725183,0.511,0.073,0,"0","atp1a3a"
"nav2b",0,1.50747308471872,0.442,0.058,0,"0","nav2b"
"etv5b",0,1.46051667136314,0.449,0.049,0,"0","etv5b"
"osbpl10b",0,1.45033897647944,0.466,0.035,0,"0","osbpl10b"
"prdx1",3.27210474794072e-307,2.06014313313645,0.694,0.167,8.59745522521424e-303,"0","prdx1"
"mt-nd2",4.92032203646921e-300,2.09103106887948,0.977,0.642,1.29281461508229e-295,"0","mt-nd2"
"cpeb4b",6.65372655529078e-299,2.07324326237321,0.725,0.211,1.74826665240265e-294,"0","cpeb4b"
"cox7a1",5.93255591811837e-292,1.48553005785122,0.574,0.113,1.5587790674856e-287,"0","cox7a1"
"mt-atp6",4.10283916747137e-290,1.62462208314576,0.998,0.874,1.0780209912531e-285,"0","mt-atp6"
"pgrmc1",4.4506778272467e-287,1.67529456286886,0.698,0.198,1.16941559910907e-282,"0","pgrmc1"
"col18a1a",1.18597074094928e-284,1.45502083660282,0.502,0.081,3.11613812184424e-280,"0","col18a1a"
"cxcr4b",6.8525916805962e-270,1.78439919174181,0.768,0.22,1.80051846407665e-265,"0","cxcr4b"
"mt-nd1",1.39310725279403e-264,1.65390018135344,0.979,0.694,3.66038930671632e-260,"0","mt-nd1"
"jag1b",3.05747253061615e-260,1.26824224874177,0.424,0.064,8.03350907419394e-256,"0","jag1b"
"serpine1",1.45445909298557e-254,2.27907571373498,0.738,0.236,3.82159126681958e-250,"0","serpine1"
"pabpc4",3.57217040940934e-243,1.19046881424272,0.446,0.075,9.38587775072305e-239,"0","pabpc4"
"mt-co1",4.68199099319576e-242,1.18890463959694,1,0.943,1.23019313346219e-237,"0","mt-co1"
"eif4ebp1",8.65236917462354e-231,1.60315362171625,0.699,0.235,2.27341000063234e-226,"0","eif4ebp1"
"irs2b",1.12953830061429e-226,1.73139421733042,0.573,0.151,2.96786188486404e-222,"0","irs2b"
"bag3",3.8245295415893e-223,1.97365748580171,0.658,0.203,1.00489513705259e-218,"0","bag3"
"cmbl",6.26768600367871e-216,1.27385261858911,0.415,0.077,1.64683449746658e-211,"0","cmbl"
"si:dkey-44g23.5",2.25977333237219e-207,1.19105294763727,0.413,0.079,5.93755443080792e-203,"0","si:dkey-44g23.5"
"txn",2.74955606891324e-200,1.75764463660693,0.66,0.217,7.22445857106953e-196,"0","txn"
"atf3",1.73368640090233e-196,1.58926105640281,0.847,0.401,4.55526101837087e-192,"0","atf3"
"adam8a",1.43594893632178e-184,1.76307692481479,0.579,0.178,3.77295583018546e-180,"0","adam8a"
"fundc2",9.86962151836551e-184,1.15763537369487,0.476,0.117,2.59324305395054e-179,"0","fundc2"
"CR318588.4",1.05667767647455e-181,1.02359451248563,1,0.964,2.77642059493688e-177,"0","CR318588.4"
"cited4a",4.16238804891408e-151,1.49137157150031,0.496,0.152,1.09366745985218e-146,"0","cited4a"
"ppdpfa",2.53199075933162e-150,0.824095976291039,0.441,0.11,6.65280572014383e-146,"0","ppdpfa"
"qdpra",2.64869426786284e-147,1.01087303627906,0.435,0.113,6.9594441888096e-143,"0","qdpra"
"cst3",9.66780403366516e-135,1.25629923985244,0.757,0.363,2.54021550984552e-130,"0","cst3"
"s100v2",7.33036066343405e-130,0.926845838683368,0.674,0.265,1.9260522643173e-125,"0","s100v2"
"nfe2l2a",5.92159254934751e-129,1.22142115044381,0.639,0.276,1.55589844234106e-124,"0","nfe2l2a"
"mt-nd4",1.98926995526744e-126,0.920302757834872,0.961,0.704,5.2268068074652e-122,"0","mt-nd4"
"rtca",4.69171572199805e-126,1.17327960677514,0.489,0.163,1.23274830595499e-121,"0","rtca"
"zbtb4",5.36249081412305e-123,0.906059023329164,0.403,0.112,1.40899446141083e-118,"0","zbtb4"
"larp4ab",1.99116897598476e-122,1.11036639296384,0.415,0.124,5.23179648439995e-118,"0","larp4ab"
"atp5l",4.68076047701032e-122,0.960379682497061,0.87,0.578,1.22986981533446e-117,"0","atp5l"
"cox8b",5.22593168989114e-122,0.930488929906832,0.677,0.29,1.3731135515189e-117,"0","cox8b"
"slc38a2",3.70348178398174e-119,1.10893142575942,0.526,0.197,9.73089838741203e-115,"0","slc38a2"
"atp5f1e",1.42322929371902e-117,0.927601122664889,0.845,0.499,3.73953496924673e-113,"0","atp5f1e"
"foxp4",9.91928619897401e-116,0.840795877646149,0.415,0.122,2.60629244878042e-111,"0","foxp4"
"prdx3",1.4027269989896e-113,1.04594147984824,0.512,0.204,3.68566518984516e-109,"0","prdx3"
"rpz5",4.53539103361146e-111,0.936780513127629,0.578,0.221,1.19167399408141e-106,"0","rpz5"
"cbx7a",4.10291990608599e-110,0.888831651651589,0.685,0.304,1.07804220532409e-105,"0","cbx7a"
