Cluster;Celltype
0;NB
1;NB
2;NB
3;NB
4;NB
5;NB
6;T_NK_cells
7;Macrophages
8;NB
9;B_cells
10;NB
11;NB
12;Neutrophils
13;Erythroid_cells
14;NB
15;NB_prolif
16;Erythroid_cells
17;NB
18;NB
19;Fibroblasts
20;Neutrophils
21;NB
22;NB
23;NKL_cells_mixed
24;NB
25;NB
26;NB
27;NB
28;Blood_progenitors
29;NB
30;NB
31;Mucin_cells
32;NB
33;Epithelial
34;NB
35;Interrenal_cells
36;Erythroid_cells
37;Endothelial
38;NB
39;Kidney_tubule
40;Glial_cells
41;T_NK_cells
42;Epithelial_mulitciliated
43;NK_cells
44;HSCs_thrombocytes
45;B_cells
46;Kidney_tubule_hepatocytes
47;NB
48;muscle_cells
49;B_cell_progenitors
50;Blood_progenitors
