Cluster;Celltype
0;Macrophages
1;Neutrophils
2;T_NK_cells
3;Fibroblasts
4;Neutrophils
5;Erythroid_cells
6;B_cells
7;B_cells
8;Erythroid_cells
9;Ery_NB_doublets
10;NB_immune_doublets
11;T_NK_cells
12;Macrophages
13;Blood_progenitors
14;Epithelial_cells
15;Mucin_cells
16;Erythroid_cells
17;Interrenal_cells
18;NK_cells
19;Endothelial
20;NB_immune_doublets
21;HSCs_thrombocytes
22;Kidney_proxTubule
23;T_NK_cells
24;NB_immune_doublets
25;Erythroid_cells
26;NB_immune_doublets
27;T_NK_cells
28;Glial_cells
29;Macrophages_myeloid
30;Blood_progenitors
31;B_cells
32;Nephron_epithelium
33;Kidney_proxTubule
34;B_cells
35;Multiciliated_kidTubule
36;Muscle_cells
37;Glial_cells
38;Neutrophils
39;Neutrophils_prolif
