Cluster;Celltype
0;Interrenal_cells
1;NB_doublets
2;Fibroblasts
3;Mucin_cells
4;Endothelial
5;Epithelial_krt91
6;Fibroblasts
7;Fibroblasts
8;Fibroblasts
9;Glial_sox10_1
10;Keratinocytes
11;Epithelial
12;Mucin_cells
13;Proximal_tubule
14;Proximal_tubule
15;Nephron_epithelium
16;Hepato_enterocytes
17;NB_doublets
18;Muscle_cells
19;Mucin_cells
20;Myofibroblasts
21;Endothelial_hapln3
22;Endothelial
23;Glial_sox10_2
24;Fibroblasts_immune_doublets
25;Epithelial_capsla
26;Neutrophil_doublets
27;Proximal_tubule
28;NB_doublets
29;Epithelial
30;Distal_tubule
31;Fibroblasts
32;Epithelial
33;Hepato_enterocytes
34;Epithelial_ebp
35;Glial_sox10_3
36;Multiciliated_cells
37;Smooth_muscle
