Cluster;Celltype
0;Erythrocytes_little_prolif
1;B_cells
2;Neutrophils
3;Erythrocytes_prolif
4;T_cells
5;Neutrophils
6;T_cells
7;NK_cells
8;Macrophages
9;NB_doublets
10;Blood_progenitors
11;Macrophages_moxd1
12;Neutrophils
13;Macrophages
14;B_cell_progenitors
15;NB_doublets
16;Macrophages
17;Erythrocytes_little_prolif
18;Neutrophils
19;T_NK_cells_heatshock
20;Erythrocytes_prolif
21;T_cells
22;Blood_progenitors
23;NK_cells
24;Th2_cells
25;Blood_progenitors
26;B_cells
27;HSCs_thrombocytes
28;NKL_cells
29;Macrophages
30;B_cells
31;B_cells
32;Macrophages_myeloid
33;Doublets
34;Neutrophils
35;T_cells_rorc
36;Lymphoid_progenitors
