;Undifferentiated mesodermal cells;Skeletal muscle cells A;Neurons A (Brain);Muscle cells (Pectoral fin);Neuronal precursors A;Fibroblasts A;Neurons B (Proliferating);Epidermal cells A;Erythrocytes A;Cone cells;Epithelial cells (Fin);Skeletal muscle cells B;Chondrocytes A;Retinal cells A;Erythrocytes B;Epidermal cells B;Fibroblasts B (Fin);Hepatocytes A;Satellite cells;Smooth muscle cells A (Vasculature);Intestinal cells A;Lens cells A;Fibroblasts C;Neuronal precursors B;Neurons C (Spinal cord);Lymphocytes A;Keratinocytes A;Retinal cells B;Pigment cells (Xantophores);Rod cells;Epidermal cells C;Fibroblasts D;Nephric duct cells;Neurons D (Brain);Endothelial cells;Epithelial cells (Mucosa);Lens cells B;Pigment cells (Melanocytes);Intestinal cells B (Exocrine);Macrophages;Pigment cells (Iridophores);Pancreas exocrine cells;Glial cells (Peripheral);Skeletal muscle cells C;Radial glia A;Skeletal muscle cells D;Retinal pigment epithelial cells;Epidermal cells D;Radial glia B;Chondrocytes B;Neurons E (Peripheral);Neuromast cells;Epidermal precursors;Olfactory receptor cells;Corneal cells;Chondrocytes C;Smooth muscle B;Epithelial cells (Otic vesicle);Hepatocytes B;Neutrophils;Osteoblasts;Skeletal muscle cells E (slow);Oligodendrocytes;Epithelial cells (other);Keratinocytes B;Hepatocytes C;Kidney cells;Chondrocytes D;Inner ear cells;Lymphocytes B
layer;Paraxial mesoderm - fibroblasts;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Surface ectoderm;Lateral plate mesoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Endoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - muscle;Endoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Neuroectoderm;Neural crest;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Lateral plate mesoderm;Neuroectoderm;Lateral plate mesoderm;Endoderm;Surface ectoderm;Neural crest;Endoderm;Lateral plate mesoderm;Neural crest;Endoderm;Neural crest;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Neuroectoderm;Paraxial mesoderm - cartilage;Neural crest;Surface ectoderm;Surface ectoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Surface ectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm
orig;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
1;ifitm1;mylpfb;tubb5;hmgb2b;her4.2.1;tnw;hmgn2;cyt1l;hbae3;opn1mw1;and3;myhz1.1;otos;vsx1;hbae1.3;krt17;and2;apoa1b;hsp90aa1.1;acta2;fabp2;crygm2d2;fgl1;atp1a1b;elavl4;CR936442.2;si:dkey-183i3.5;rs1a;wu:fc46h12;rho;krt1-19d;krt94;aqp1a.1;stmn1b;fabp11a;si:ch73-306e8.2;crygmx;tyrp1b;fabp6;ccl34b.1;defbl1;ctrb1;mbpa;pvalb7;epd;myhz1.1;rgrb;krt17;gfap;f13a1b;scn4ab;s100a11;si:dkey-33i11.4;pvalb5;scinla;matn1;tagln;otomp;tfa;lyz;col10a1a;myl10;cd59;si:dkey-205h13.2;CU693494.2;fabp10a;nit2;matn3a;s100t;si:dkey-21e2.15
2;cxcl12a;tnnt3b;tuba1c;hmgb2a;her4.1;vwde;hmgb2b;cyt1;hbbe1.1;opn1sw1;cldni;ttn.2;matn4;rs1a;hbbe1.2;CABZ01059409.1;hpdb;tfa;myog;tagln;chia.2;crygm2d1;fmoda;slc1a2b;sncb;CR974440.2;zgc:136930;calb2b;gch2;gngt1;krt92;klf2a;podxl;pax10;vsg1;si:ch73-288o11.5;crybb1;pmela;ctsl.1;MFAP4 (1 of many).4;apoda.1;try;mbpb;tnni2a.1;ggctb;myhz2;rlbp1b;cyt1;stm;fgfbp2b;scn1ba;wu:fj16a03;si:dkey-193p11.2;s100z;gyg1b;mia;acta2;stm;apoa2;npsn;si:dkey-22i16.3;myl13;plp1b;si:rp71-1c10.11;cxl34b.11;apoa1b;sepp1a;si:ch73-23l24.1;CU855484.1;si:dkey-21e2.16
3;serpinh1b;actc1b;stmn1b;tma7;si:ch211-193l2.4;tgfbi;hmga1a;CABZ01059409.1;hbbe2;pde6h;apoeb;myhz2;lect1;neurod4;hbbe1.1;krt4;ucp1;apoa2;tmsb;BX088707.3;fabp1b.1;CR847505.1;si:ch211-287a12.9;fabp7a;snap25a;pfn1;krtt1c19e;rlbp1a;si:dkey-251i10.2;si:ch211-113d22.2;ponzr5;pmp22a;krt94;pax6a;dusp5;agr2;cryba4;MREG;epdl2;si:dkey-5n18.1;lypc;prss59.1;cd59;tnni2b.1;soul5;pvalb1;rpe65a;si:ch211-195b11.3;cldn7a;mia;si:ch211-134a4.4;trpv6;atp1b1b;zgc:173593;si:dkey-164f24.2;col2a1a;myl6;si:ch211-243g18.2;apoc1;srgn;ifitm5;tnnc1b;cldnk;stm;krt17.1;apoa2;acy3.2;col9a1b;CR925719.1;si:dkey-21e2.13
4;serpine1;acta1b;gpm6ab;cnbpa;her4.2;si:ch211-251b21.1;si:ch211-193l2.7;krt17;hbbe1.3;gngt2b;and2;myhz1.2;col2a1a;gnb3a;hbbe2;icn2;hgd;fabp10a;jam2a;aoc2;rbp2a;crygm2d20;vwde;glula;sncgb;CR936442.1;krt5;gnao1b;tmem130;gnat1;zgc:165423;si:ch211-39i22.1;cavin2b;ppdpfb;ramp2;cldnh;cryba1l1;slc45a2;lgals2b;mfap4;pnp4a;prss59.2;si:ch211-156j16.1;tpm2;fxyd1;ttn.2;mb;cyt1l;vim;si:dkeyp-12a9.5;tuba8l3;zgc:109934;CABZ01021592.2;si:ch211-153b23.5;tkta;otos;myl9a;bricd5;apoa1b;lect2l;spp1;tnni1d;si:ch211-156j16.1;si:dkey-4p15.5;cldni;fetub;aldob;zgc:113232;si:ch211-243g18.2;si:dkey-21e2.4
5;pmp22a;ak1;zc4h2;cct5;si:ch211-193l2.3;col1a2;hmgb2a;krt4;hbae1.3;opn1sw2;pfn1;ttn.1;col9a1a;syt5b;hbbe1.3;si:ch211-117m20.5;col1a1a;fetub;vwde;rgs5a;apoa1a;crygm2d3;col1a2;mdkb;gng3;arpc1b;CU693494.2;syt5b;gstp1;pde6g;krt97;vim;aoc2;ptmaa;igfbp7;icn;cryba1b;mtbl;anxa4;fcer1gl;IFI30 (1 of many);ctrl;anxa13l;pvalb4;SLC3A2 (1 of many);myhz1.2;fabp11b;zgc:111983;endouc;serpinh1b;foxd3;FP016234.1;rgs5b;fabp10b;mfap2;col9a1a;csrp1b;agr2;fabp10a;si:ch211-9d9.1;cd81b;ACTC1 (1 of many);si:dkey-200l5.4;si:dkey-222f2.1;krt5;cbln5;TMEM27;zmp:0000000760;dnajc5b;si:dkey-21e2.10
6;fstl3;tpma;elavl3;pabpc1a;her15.1.1;postnb;h2afvb;icn2;fth1a;gnb3b;tmsb1;pvalb1;col9a3;calb2b;hbae3;si:ch211-195b11.3;im:7150988;apom;unc45b;TPM1;gsta.1;crygm2d13;col1a1b;mfge8a;atp6v0cb;coro1a;krt17.1;cabp2a;slc22a7a;sagb;scel;rpz5;cxcl8b.1;si:ch73-1a9.3;srgn;muc5.1;cryba2b;dct;ctsbb;lygl1;si:ch211-243a20.3;CELA1 (1 of many);cldnk;TPM1;fabp11a;atp2a1;rgra;mid1ip1a;CLDN4 (1 of many).1;matn1;rgcc;si:dkey-33i11.4;cldnh;gstp1;twist1a;lect1;desmb;si:ch211-133n4.6;zgc:123103;fcer1gl;phex;tpm2;si:ch73-335m24.2;krt1-c5;ecrg4b;apom;pvalb9;epyc;si:dkeyp-110e4.11;si:ch211-212d10.1
7;rgs5a;pvalb2;nova2;rpl22l1;her15.1;tnmd;rrm2.1;krt97;cahz;rbp4l;cfl1l;tnni2a.4;col9a2;hmp19;zmp:0000001081;cyt1l;tat;zgc:123103;npm1a;igfbp7;lgals2b;crygm2d14;tnw;zgc:165461;ywhag2;ccr9a;cxl34b.11;snap25b;zgc:110339;rom1b;si:dkey-19b23.12;CABZ01051572.1;rhag;snap25b;ponzr1;cldnb;crybb1l1;tspan36;s100a10a;ccl35.1;CABZ01067314.1;ela2l;si:ch211-132g1.3;myhz1.1.1;igfbp2a;pvalb2;dct;icn2;zgc:165461;krt8;phlda2;zgc:198419;atp1a1a.2.1;zgc:109934;si:ch73-281n10.2;col11a2;TPM1;si:dkey-222f2.1;crp;mmp13a;panx3;tnnt2e;timd4;si:ch211-103f14.3;cldn1;f7i;atp1b1a;ucmab;rtn4rl2b;il4
8;twist1a;tnni2a.4;zgc:153426;ran;si:ch211-193l2.7;serpinf1;AL929185.2;im:7150988;blvrb;arr3b;si:ch1073-406l10.2;tnnc2;cthrc1a;epb41a;hbae1;zgc:193505;ttc36;serpina1l;tuba8l3;myl9a;apoa4b.2;crygmxl2;postnb;ptgdsb.2;vamp2;cebpb;lgals1l1;glula;uraha;gngt2a;krt96;si:ch211-251b21.1;krt8;pax6b;cldn5b;KRT18 (1 of many).1;crygn2;tyrp1a;BX908782.1;arpc1b;akap12a;zgc:112160;egr2b;myl1;mdka;ttn.1;irbp;krt4;pbxip1b;tgm2l;CLDN4 (1 of many).1;mafbb;foxi3b;cldnh;pmp22a;fgfbp2b;cald1b;si:ch211-80h18.1;serpina1l;arpc1b;sgms2;tpm3;mbpb;cbln20;zgc:86896;ttr;pdzk1ip1;cmn;gpx1b;MFAP4 (1 of many).1
