Cluster;Celltype
0;NB
1;NB
2;NB
3;T_NK_cells
4;NB
5;NB
6;Macrophages
7;NB
8;NB
9;B_cells
10;NB_heatshock
11;NB
12;NB
13;NB
14;Erythrocytes
15;Fibroblasts
16;NB
17;Neutrophils
18;NB
19;NB
20;Erythrocytes
21;NB
22;NB
23;Neuronal
24;Neutrophils
25;NB
26;NB_cycling
27;Radial_glia
28;NB_heatshock
29;NB_withBloodProgen
30;NB
31;Mesenchymal_cells
32;Epithelial_cells
33;NB
34;NB
35;Macrophages_myeloid_NKL_cells
36;Mucin_cells
37;NB
38;Glial_sox10
39;NB
40;NB
41;Endothelial_cells
42;Erythrocytes
43;NK_cells_and_doublets
44;Blood_progenitors
45;Interrenal_cells
46;Erythrocytes
47;Th2_cells_NB_mix
48;NB_epithelial_mix?
49;Erythrocytes
50;T_cells
51;NB
52;Kidney_tubule
53;NB
54;Epithelial_cells
55;Hepato_enterocytes
56;NB
57;HSPCs
58;B_cells
59;Muscle_cells
60;Neuronal
61;Fibroblasts
62;Neutrophils_withSomeEry
63;Pigment_cells
