"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"insl5a",0,2.32635541124087,0.587,0.219,0,"0","insl5a"
"vgf",0,1.80173269989618,0.737,0.162,0,"0","vgf"
"gch1",0,1.33982546542497,0.734,0.254,0,"0","gch1"
"rln1",0,1.27392745389779,0.647,0.223,0,"0","rln1"
"scg2b",0,1.25400324375773,0.621,0.173,0,"0","scg2b"
"phex",0,1.17407946399271,0.963,0.565,0,"0","phex"
"dbh",0,1.17342310099419,0.935,0.503,0,"0","dbh"
"mcama",0,1.14647076720381,0.716,0.219,0,"0","mcama"
"slc2a3a",0,1.08083555763955,0.681,0.248,0,"0","slc2a3a"
"cpe",0,1.06716138917979,0.794,0.33,0,"0","cpe"
"si:dkey-175g6.2",0,1.0414507063005,0.352,0.058,0,"0","si:dkey-175g6.2"
"npas4a",0,1.01494060201005,0.577,0.223,0,"0","npas4a"
"zfhx3",0,1.01024382798431,0.87,0.455,0,"0","zfhx3"
"egr4",0,1.00780622922696,0.636,0.319,0,"0","egr4"
"midn",0,1.00650604482052,0.815,0.432,0,"0","midn"
"fosb",0,0.999256149670615,0.706,0.31,0,"0","fosb"
"rbp1",0,0.990573782881462,0.394,0.099,0,"0","rbp1"
"map1ab",0,0.979047389161975,0.618,0.189,0,"0","map1ab"
"pcsk1nl",0,0.956815637117401,0.819,0.373,0,"0","pcsk1nl"
"slc35g2a",0,0.943328097278566,0.833,0.38,0,"0","slc35g2a"
"gfra3",0,0.935758286500768,0.721,0.292,0,"0","gfra3"
"rgs5a",0,0.897655096392652,0.995,0.782,0,"0","rgs5a"
"slc31a1",0,0.894202949292132,0.755,0.339,0,"0","slc31a1"
"btg2",0,0.888762919495183,0.907,0.657,0,"0","btg2"
"si:ch211-195b15.8",0,0.8687715206445,0.738,0.337,0,"0","si:ch211-195b15.8"
"epas1b",0,0.860908404522526,0.717,0.354,0,"0","epas1b"
"th",0,0.859282699803602,0.817,0.406,0,"0","th"
"rtn1a",0,0.851786972780953,0.911,0.517,0,"0","rtn1a"
"phox2a",0,0.843526716196696,0.813,0.42,0,"0","phox2a"
"aplp1",0,0.8383626651476,0.776,0.355,0,"0","aplp1"
"ywhah",0,0.83662165194067,0.807,0.44,0,"0","ywhah"
"nsg2",0,0.824224095703832,0.614,0.222,0,"0","nsg2"
"ddc",0,0.816694418355902,0.846,0.423,0,"0","ddc"
"tmeff2a",0,0.806995461806314,0.623,0.231,0,"0","tmeff2a"
"clstn2",0,0.804140739285396,0.584,0.2,0,"0","clstn2"
"mtbl",0,0.792547843068778,0.755,0.391,0,"0","mtbl"
"aldocb",0,0.788630831922728,0.851,0.481,0,"0","aldocb"
"hoxb5a",0,0.788003242126112,0.553,0.168,0,"0","hoxb5a"
"adam8a",0,0.781221734691808,0.766,0.409,0,"0","adam8a"
"map1b",0,0.75528623640866,0.511,0.181,0,"0","map1b"
"si:ch73-119p20.1",0,0.745056752491923,0.804,0.408,0,"0","si:ch73-119p20.1"
"pfn2l",0,0.744155906392669,0.888,0.539,0,"0","pfn2l"
"camk2n1a",0,0.722587269367616,0.679,0.33,0,"0","camk2n1a"
"syt4",0,0.71946276011978,0.566,0.209,0,"0","syt4"
"akr1b1",0,0.714897032192607,0.477,0.178,0,"0","akr1b1"
"gata3",0,0.71445928836435,0.472,0.169,0,"0","gata3"
"fam46ba",0,0.708282094009697,0.522,0.236,0,"0","fam46ba"
"sstr1a",0,0.695339426903584,0.368,0.089,0,"0","sstr1a"
"ppdpfb",0,0.687596778117301,0.947,0.7,0,"0","ppdpfb"
"egr1",0,0.686473647606981,0.542,0.273,0,"0","egr1"
"ptprna",0,0.68235233816347,0.462,0.146,0,"0","ptprna"
"pabpc4",0,0.681576988493089,0.627,0.288,0,"0","pabpc4"
"prmt1",0,0.677672307004916,0.797,0.472,0,"0","prmt1"
