"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EGFP",0,2.30037353416656,0.971,0.471,0,"NB","EGFP"
"rgs5a",0,2.24180412515787,0.981,0.477,0,"NB","rgs5a"
"phex",0,2.15373153273772,0.836,0.168,0,"NB","phex"
"dbh",0,2.08876138203652,0.771,0.118,0,"NB","dbh"
"si:ch211-131k2.3",0,2.00503649545196,0.625,0.168,0,"NB","si:ch211-131k2.3"
"mCherry",0,1.92727310355946,0.643,0.278,0,"NB","mCherry"
"LMO1",0,1.88261371210824,0.61,0.256,0,"NB","LMO1"
"hand2",0,1.74209643394036,0.797,0.142,0,"NB","hand2"
"uchl1",0,1.71929823987712,0.67,0.159,0,"NB","uchl1"
"rgs4",0,1.57108538968841,0.795,0.164,0,"NB","rgs4"
"slc35g2a",0,1.42349937868455,0.601,0.078,0,"NB","slc35g2a"
"th",0,1.37071651256504,0.638,0.079,0,"NB","th"
"syt1a",0,1.3275424755928,0.601,0.068,0,"NB","syt1a"
"phox2a",0,1.30080651352715,0.653,0.088,0,"NB","phox2a"
"CR812832.1",0,1.26219837224425,0.613,0.078,0,"NB","CR812832.1"
"tmsb",0,1.2492672873275,0.835,0.25,0,"NB","tmsb"
"egr4",0,1.21192334484896,0.484,0.089,0,"NB","egr4"
"gch2",0,1.20518817227988,0.712,0.153,0,"NB","gch2"
"rtn1a",0,1.20071311346096,0.757,0.173,0,"NB","rtn1a"
"tmsb2",0,1.19939630662283,0.673,0.113,0,"NB","tmsb2"
"rpl22l1",0,1.198363348307,0.973,0.819,0,"NB","rpl22l1"
"MYCN",0,1.18985204143332,0.524,0.07,0,"NB","MYCN"
"si:ch73-119p20.1",0,1.18823973142445,0.64,0.078,0,"NB","si:ch73-119p20.1"
"npm1a",0,1.18576830791761,0.856,0.401,0,"NB","npm1a"
"pcsk1nl",0,1.15810369828812,0.596,0.068,0,"NB","pcsk1nl"
"ddc",0,1.12852334971617,0.65,0.106,0,"NB","ddc"
"si:ch211-195b15.8",0,1.0875962955338,0.52,0.091,0,"NB","si:ch211-195b15.8"
"zgc:123068",0,1.08713276248785,0.469,0.176,0,"NB","zgc:123068"
"epas1b",0,1.08125724271505,0.548,0.084,0,"NB","epas1b"
"alcamb",0,1.07665698962034,0.574,0.083,0,"NB","alcamb"
"INSM2",0,1.07585158153175,0.456,0.035,0,"NB","INSM2"
"mtbl",0,1.06855130247375,0.599,0.096,0,"NB","mtbl"
"CABZ01079011.1",0,1.05264129388954,0.687,0.286,0,"NB","CABZ01079011.1"
"aplp1",0,1.03472759205855,0.56,0.077,0,"NB","aplp1"
"scg3",0,1.0313003133372,0.528,0.065,0,"NB","scg3"
"camk2n1a",0,1.02969957422022,0.515,0.074,0,"NB","camk2n1a"
"qdpra",0,1.0145858384136,0.58,0.088,0,"NB","qdpra"
"rps12",0,1.01381936067226,0.999,0.99,0,"NB","rps12"
"rps18",0,1.0137814901285,0.991,0.932,0,"NB","rps18"
"rplp0",0,1.00778186279985,0.999,0.986,0,"NB","rplp0"
"gch1",0,1.0048873013633,0.418,0.056,0,"NB","gch1"
"maptb",0,1.00186644298422,0.594,0.105,0,"NB","maptb"
"ppdpfb",0,0.990087297931393,0.846,0.493,0,"NB","ppdpfb"
"eef2l2",0,0.980529581113599,0.587,0.105,0,"NB","eef2l2"
