"","x"
"1","atad2"
"2","blm"
"3","brip1"
"4","casp8ap2"
"5","cdc45"
"6","cdc6"
"7","cdca7a"
"8","chaf1b"
"9","dscc1"
"10","dtl"
"11","e2f8"
"12","exo1"
"13","fen1"
"14","gins2"
"15","gmnn"
"16","hells"
"17","mcm2"
"18","mcm4"
"19","mcm5"
"20","mcm6"
"21","msh2"
"22","nasp"
"23","pcna"
"24","pola1"
"25","pold3"
"26","prim1"
"27","rad51"
"28","rad51ap1"
"29","rfc2"
"30","rpa2"
"31","rrm1"
"32","rrm2"
"33","slbp"
"34","tipin"
"35","tyms"
"36","ubr7"
"37","uhrf1"
"38","unga"
"39","ungb"
"40","usp1"
"41","wdr76"
"42","anln"
"43","anp32e"
"44","aurka"
"45","birc5a"
"46","birc5b"
"47","bub1"
"48","cbx5"
"49","ccnb2"
"50","cdc20"
"51","cdca8"
"52","cdk1"
"53","cenpe"
"54","cenpf"
"55","ckap2l"
"56","ckap5"
"57","cks1b"
"58","cks2"
"59","ctcf"
"60","dlgap5"
"61","ect2"
"62","g2e3"
"63","gas2l3"
"64","gtse1"
"65","hmgb2a"
"66","hmgb2b"
"67","hmmr"
"68","kif11"
"69","kif20ba"
"70","kif20bb"
"71","kif23"
"72","kif2c"
"73","lbr"
"74","mki67"
"75","ncapd2"
"76","ndc80"
"77","nek2"
"78","nuf2"
"79","nusap1"
"80","rangap1a"
"81","rangap1b"
"82","tacc3"
"83","tmpoa"
"84","tmpob"
"85","top2a"
"86","tpx2"
"87","ttk"
"88","tubb4b"
"89","ube2c"
"90","stmn1a"
"91","mki67"
"92","plk1"
"93","top2a"
"94","nusap1"
"95","ccnb1"
"96","ube2c"
"97","aspm"
"98","tpx2"
"99","kifc1"
"100","smc2"
"101","hmgb2a"
"102","hmgn2"
"103","DUT"
"104","tubb2b"
"105","tuba8l4"
"106","stmn1b"
"107","pcna"
"108","hmgb2b"
